Voltage,Current        
-2.00E+00,-7.35E-02
-1.99E+00,-7.34E-02
-1.98E+00,-7.36E-02
-1.97E+00,-7.32E-02
-1.96E+00,-7.31E-02
-1.95E+00,-7.36E-02
-1.94E+00,-7.35E-02
-1.93E+00,-7.31E-02
-1.92E+00,-7.32E-02
-1.91E+00,-7.37E-02
-1.90E+00,-7.34E-02
-1.89E+00,-7.30E-02
-1.88E+00,-7.33E-02
-1.87E+00,-7.37E-02
-1.86E+00,-7.35E-02
-1.85E+00,-7.30E-02
-1.84E+00,-7.33E-02
-1.83E+00,-7.37E-02
-1.82E+00,-7.34E-02
-1.81E+00,-7.30E-02
-1.80E+00,-7.31E-02
-1.79E+00,-7.33E-02
-1.78E+00,-7.37E-02
-1.77E+00,-7.33E-02
-1.76E+00,-7.30E-02
-1.75E+00,-7.35E-02
-1.74E+00,-7.37E-02
-1.73E+00,-7.32E-02
-1.72E+00,-7.30E-02
-1.71E+00,-7.34E-02
-1.70E+00,-7.37E-02
-1.69E+00,-7.32E-02
-1.68E+00,-7.31E-02
-1.67E+00,-7.35E-02
-1.66E+00,-7.37E-02
-1.65E+00,-7.35E-02
-1.64E+00,-7.37E-02
-1.63E+00,-7.35E-02
-1.62E+00,-7.34E-02
-1.61E+00,-7.30E-02
-1.60E+00,-7.34E-02
-1.59E+00,-7.37E-02
-1.58E+00,-7.32E-02
-1.57E+00,-7.30E-02
-1.56E+00,-7.36E-02
-1.55E+00,-7.36E-02
-1.54E+00,-7.32E-02
-1.53E+00,-7.30E-02
-1.52E+00,-7.35E-02
-1.51E+00,-7.36E-02
-1.50E+00,-7.31E-02
-1.49E+00,-7.31E-02
-1.48E+00,-7.36E-02
-1.47E+00,-7.34E-02
-1.46E+00,-7.30E-02
-1.45E+00,-7.34E-02
-1.44E+00,-7.36E-02
-1.43E+00,-7.31E-02
-1.42E+00,-7.32E-02
-1.41E+00,-7.36E-02
-1.40E+00,-7.34E-02
-1.39E+00,-7.30E-02
-1.38E+00,-7.31E-02
-1.37E+00,-7.33E-02
-1.36E+00,-7.36E-02
-1.35E+00,-7.32E-02
-1.34E+00,-7.31E-02
-1.33E+00,-7.36E-02
-1.32E+00,-7.34E-02
-1.31E+00,-7.30E-02
-1.30E+00,-7.33E-02
-1.29E+00,-7.37E-02
-1.28E+00,-7.32E-02
