Voltage,Current        
-7.40E-01,-1.60E-02
-7.30E-01,-1.60E-02
-7.20E-01,-1.60E-02
-7.10E-01,-1.60E-02
-7.00E-01,-1.61E-02
-6.90E-01,-1.60E-02
-6.80E-01,-1.64E-02
-6.70E-01,-1.60E-02
-6.60E-01,-1.60E-02
-6.50E-01,-1.60E-02
-6.40E-01,-1.60E-02
-6.30E-01,-1.60E-02
-6.20E-01,-1.60E-02
-6.10E-01,-1.60E-02
-6.00E-01,-1.60E-02
-5.90E-01,-1.60E-02
-5.80E-01,-1.60E-02
-5.70E-01,-1.60E-02
-5.60E-01,-1.62E-02
-5.50E-01,-1.60E-02
-5.40E-01,-1.63E-02
-5.30E-01,-1.60E-02
-5.20E-01,-1.60E-02
-5.10E-01,-1.60E-02
-5.00E-01,-1.61E-02
-4.90E-01,-1.60E-02
-4.80E-01,-1.60E-02
-4.70E-01,-1.60E-02
-4.60E-01,-1.60E-02
-4.50E-01,-1.60E-02
-4.40E-01,-1.60E-02
-4.30E-01,-1.60E-02
-4.20E-01,-1.61E-02
-4.10E-01,-1.60E-02
-4.00E-01,-1.60E-02
-3.90E-01,-1.60E-02
-3.80E-01,-1.60E-02
-3.70E-01,-1.60E-02
-3.60E-01,-1.63E-02
-3.50E-01,-1.60E-02
-3.40E-01,-1.60E-02
-3.30E-01,-1.60E-02
-3.20E-01,-1.60E-02
-3.10E-01,-1.60E-02
-3.00E-01,-1.60E-02
-2.90E-01,-1.60E-02
-2.80E-01,-1.60E-02
-2.70E-01,-1.60E-02
-2.60E-01,-1.61E-02
-2.50E-01,-1.60E-02
-2.40E-01,-1.60E-02
-2.30E-01,-1.60E-02
-2.20E-01,-1.60E-02
-2.10E-01,-1.60E-02
-2.00E-01,-1.60E-02
-1.90E-01,-1.60E-02
-1.80E-01,-1.60E-02
-1.70E-01,-1.60E-02
-1.60E-01,-1.60E-02
-1.50E-01,-1.60E-02
-1.40E-01,-1.60E-02
-1.30E-01,-1.60E-02
-1.20E-01,-1.60E-02
-1.10E-01,-1.60E-02
-9.99E-02,-1.62E-02
-8.98E-02,-1.60E-02
-7.98E-02,-1.60E-02
-6.98E-02,-1.60E-02
-5.98E-02,-1.60E-02
-4.98E-02,-1.60E-02
-3.98E-02,-1.60E-02
-2.98E-02,-1.60E-02
-1.99E-02,-1.62E-02
-9.77E-03,-1.60E-02
1.29E-04,-1.62E-02
1.02E-02,-1.60E-02
2.01E-02,-1.60E-02
3.02E-02,-1.60E-02
4.01E-02,-1.62E-02
5.02E-02,-1.60E-02
6.02E-02,-1.60E-02
7.02E-02,-1.60E-02
8.01E-02,-1.61E-02
9.02E-02,-1.60E-02
1.00E-01,-1.60E-02
1.10E-01,-1.60E-02
1.20E-01,-1.60E-02
1.30E-01,-1.60E-02
1.40E-01,-1.60E-02
1.50E-01,-1.60E-02
1.60E-01,-1.60E-02
1.70E-01,-1.60E-02
1.80E-01,-1.60E-02
1.90E-01,-1.60E-02
2.00E-01,-1.59E-02
2.10E-01,-1.59E-02
2.20E-01,-1.59E-02
2.30E-01,-1.59E-02
2.40E-01,-1.59E-02
2.50E-01,-1.59E-02
2.60E-01,-1.58E-02
2.70E-01,-1.58E-02
2.80E-01,-1.58E-02
2.90E-01,-1.92E-02
3.00E-01,-1.57E-02
3.10E-01,-1.57E-02
3.20E-01,-1.56E-02
3.30E-01,-1.57E-02
3.40E-01,-1.55E-02
3.50E-01,-1.55E-02
3.60E-01,-1.53E-02
3.70E-01,-1.53E-02
3.80E-01,-1.51E-02
3.90E-01,-1.49E-02
4.00E-01,-1.47E-02
4.10E-01,-1.45E-02
4.20E-01,-1.42E-02
4.30E-01,-1.38E-02
4.40E-01,-1.33E-02
4.50E-01,-1.27E-02
4.60E-01,-1.20E-02
4.70E-01,-1.10E-02
4.80E-01,-9.83E-03
4.90E-01,-8.29E-03
5.00E-01,-6.36E-03
5.10E-01,-3.96E-03
5.20E-01,-2.73E-03
5.30E-01,5.40E-04
5.40E-01,6.86E-03
5.50E-01,1.09E-02
5.60E-01,1.57E-02
5.70E-01,2.44E-02
5.80E-01,3.13E-02
5.90E-01,3.81E-02
6.00E-01,4.89E-02
6.10E-01,5.83E-02
6.20E-01,6.67E-02
