VOLT1        ,CURR1        ,RES1         ,TIME1        ,STAT1     ,SOUR1        
-1.995321E+00,-5.529220E-05,+9.910000E+37,+1.868000E-02,      2688,-2.000000E+00
-1.987614E+00,-5.030580E-05,+9.910000E+37,+2.122000E-02,      2688,-1.990000E+00
-1.977536E+00,-5.093990E-05,+9.910000E+37,+2.356100E-02,      2688,-1.980000E+00
-1.967461E+00,-5.066070E-05,+9.910000E+37,+2.591100E-02,      2688,-1.970000E+00
-1.957537E+00,-5.031100E-05,+9.910000E+37,+2.825200E-02,      2688,-1.960000E+00
-1.947643E+00,-5.036380E-05,+9.910000E+37,+3.058900E-02,      2688,-1.950000E+00
-1.937700E+00,-5.118960E-05,+9.910000E+37,+3.293800E-02,      2688,-1.940000E+00
-1.927639E+00,-5.027200E-05,+9.910000E+37,+3.527100E-02,      2688,-1.930000E+00
-1.917641E+00,-5.004660E-05,+9.910000E+37,+3.761400E-02,      2688,-1.920000E+00
-1.907784E+00,-5.045750E-05,+9.910000E+37,+3.996400E-02,      2688,-1.910000E+00
-1.897525E+00,-4.907070E-05,+9.910000E+37,+4.229800E-02,      2688,-1.900000E+00
-1.887578E+00,-4.861470E-05,+9.910000E+37,+4.463000E-02,      2688,-1.890000E+00
-1.878394E+00,-5.002810E-05,+9.910000E+37,+4.705900E-02,      2688,-1.880000E+00
-1.867585E+00,-4.807510E-05,+9.910000E+37,+4.940800E-02,      2688,-1.870000E+00
-1.857496E+00,-4.819890E-05,+9.910000E+37,+5.174000E-02,      2688,-1.860000E+00
-1.847700E+00,-4.863330E-05,+9.910000E+37,+5.409000E-02,      2688,-1.850000E+00
-1.837491E+00,-4.764940E-05,+9.910000E+37,+5.642900E-02,      2688,-1.840000E+00
-1.827381E+00,-4.744550E-05,+9.910000E+37,+5.876900E-02,      2688,-1.830000E+00
-1.817502E+00,-4.762520E-05,+9.910000E+37,+6.110900E-02,      2688,-1.820000E+00
-1.807545E+00,-4.669100E-05,+9.910000E+37,+6.344000E-02,      2688,-1.810000E+00
-1.797483E+00,-4.631050E-05,+9.910000E+37,+6.578600E-02,      2688,-1.800000E+00
-1.787442E+00,-4.617830E-05,+9.910000E+37,+6.812400E-02,      2688,-1.790000E+00
-1.777486E+00,-4.587740E-05,+9.910000E+37,+7.046800E-02,      2688,-1.780000E+00
-1.767336E+00,-4.569100E-05,+9.910000E+37,+7.280600E-02,      2688,-1.770000E+00
-1.757398E+00,-4.585640E-05,+9.910000E+37,+7.515000E-02,      2688,-1.760000E+00
-1.747379E+00,-4.491320E-05,+9.910000E+37,+7.748000E-02,      2688,-1.750000E+00
-1.737217E+00,-4.472790E-05,+9.910000E+37,+7.980700E-02,      2688,-1.740000E+00
-1.728382E+00,-4.695470E-05,+9.910000E+37,+8.226800E-02,      2688,-1.730000E+00
-1.717631E+00,-4.394170E-05,+9.910000E+37,+8.461200E-02,      2688,-1.720000E+00
-1.707287E+00,-4.353960E-05,+9.910000E+37,+8.694500E-02,      2688,-1.710000E+00
-1.697314E+00,-4.443120E-05,+9.910000E+37,+8.930100E-02,      2688,-1.700000E+00
-1.687349E+00,-4.339860E-05,+9.910000E+37,+9.164000E-02,      2688,-1.690000E+00
-1.677251E+00,-4.308110E-05,+9.910000E+37,+9.397300E-02,      2688,-1.680000E+00
-1.669693E+00,-4.620400E-05,+9.910000E+37,+9.653800E-02,      2688,-1.670000E+00
-1.659454E+00,-4.296140E-05,+9.910000E+37,+1.009100E-01,      2688,-1.660000E+00
-1.647157E+00,-4.268140E-05,+9.910000E+37,+1.032960E-01,      2688,-1.650000E+00
-1.637338E+00,-4.195980E-05,+9.910000E+37,+1.056350E-01,      2688,-1.640000E+00
-1.627247E+00,-4.191090E-05,+9.910000E+37,+1.079710E-01,      2688,-1.630000E+00
-1.617313E+00,-4.235870E-05,+9.910000E+37,+1.103230E-01,      2688,-1.620000E+00
-1.607283E+00,-4.135570E-05,+9.910000E+37,+1.126640E-01,      2688,-1.610000E+00
-1.597220E+00,-4.115440E-05,+9.910000E+37,+1.150000E-01,      2688,-1.600000E+00
-1.587263E+00,-4.165860E-05,+9.910000E+37,+1.173540E-01,      2688,-1.590000E+00
-1.577315E+00,-4.033990E-05,+9.910000E+37,+1.196900E-01,      2688,-1.580000E+00
-1.567159E+00,-4.011480E-05,+9.910000E+37,+1.220390E-01,      2688,-1.570000E+00
-1.557113E+00,-4.039820E-05,+9.910000E+37,+1.243890E-01,      2688,-1.560000E+00
-1.547227E+00,-3.932330E-05,+9.910000E+37,+1.267240E-01,      2688,-1.550000E+00
-1.537079E+00,-3.906810E-05,+9.910000E+37,+1.290730E-01,      2688,-1.540000E+00
-1.526956E+00,-3.953240E-05,+9.910000E+37,+1.314140E-01,      2688,-1.530000E+00
-1.517081E+00,-3.900350E-05,+9.910000E+37,+1.337610E-01,      2688,-1.520000E+00
-1.507125E+00,-3.844070E-05,+9.910000E+37,+1.360980E-01,      2688,-1.510000E+00
-1.496930E+00,-3.867580E-05,+9.910000E+37,+1.384490E-01,      2688,-1.500000E+00
-1.487098E+00,-3.773500E-05,+9.910000E+37,+1.407940E-01,      2688,-1.490000E+00
-1.477012E+00,-3.701750E-05,+9.910000E+37,+1.431300E-01,      2688,-1.480000E+00
-1.467309E+00,-3.720020E-05,+9.910000E+37,+1.456280E-01,      2688,-1.470000E+00
-1.457103E+00,-3.624020E-05,+9.910000E+37,+1.479790E-01,      2688,-1.460000E+00
-1.446794E+00,-3.650100E-05,+9.910000E+37,+1.503240E-01,      2688,-1.450000E+00
-1.436807E+00,-3.648540E-05,+9.910000E+37,+1.526690E-01,      2688,-1.440000E+00
-1.426946E+00,-3.613940E-05,+9.910000E+37,+1.550140E-01,      2688,-1.430000E+00
-1.416829E+00,-3.616180E-05,+9.910000E+37,+1.573720E-01,      2688,-1.420000E+00
-1.406768E+00,-3.584980E-05,+9.910000E+37,+1.597100E-01,      2688,-1.410000E+00
-1.396895E+00,-3.507410E-05,+9.910000E+37,+1.620500E-01,      2688,-1.400000E+00
-1.386760E+00,-3.491570E-05,+9.910000E+37,+1.643970E-01,      2688,-1.390000E+00
-1.376772E+00,-3.483310E-05,+9.910000E+37,+1.667450E-01,      2688,-1.380000E+00
-1.366961E+00,-3.407390E-05,+9.910000E+37,+1.690800E-01,      2688,-1.370000E+00
-1.356834E+00,-3.440290E-05,+9.910000E+37,+1.714310E-01,      2688,-1.360000E+00
-1.346716E+00,-3.446720E-05,+9.910000E+37,+1.737670E-01,      2688,-1.350000E+00
-1.337012E+00,-3.371370E-05,+9.910000E+37,+1.761020E-01,      2688,-1.340000E+00
-1.326822E+00,-3.384040E-05,+9.910000E+37,+1.784540E-01,      2688,-1.330000E+00
-1.316846E+00,-3.341350E-05,+9.910000E+37,+1.807830E-01,      2688,-1.320000E+00
-1.306881E+00,-3.301920E-05,+9.910000E+37,+1.831320E-01,      2688,-1.310000E+00
-1.296914E+00,-3.274510E-05,+9.910000E+37,+1.854870E-01,      2688,-1.300000E+00
-1.286802E+00,-3.248590E-05,+9.910000E+37,+1.878320E-01,      2688,-1.290000E+00
-1.276910E+00,-3.215510E-05,+9.910000E+37,+1.901770E-01,      2688,-1.280000E+00
