VOLT1        ,CURR1        
-2.00E+00,-5.53E-05
-1.99E+00,-5.03E-05
-1.98E+00,-5.09E-05
-1.97E+00,-5.07E-05
-1.96E+00,-5.03E-05
-1.95E+00,-5.04E-05
-1.94E+00,-5.12E-05
-1.93E+00,-5.03E-05
-1.92E+00,-5.00E-05
-1.91E+00,-5.05E-05
-1.90E+00,-4.91E-05
-1.89E+00,-4.86E-05
-1.88E+00,-5.00E-05
-1.87E+00,-4.81E-05
-1.86E+00,-4.82E-05
-1.85E+00,-4.86E-05
-1.84E+00,-4.76E-05
-1.83E+00,-4.74E-05
-1.82E+00,-4.76E-05
-1.81E+00,-4.67E-05
-1.80E+00,-4.63E-05
-1.79E+00,-4.62E-05
-1.78E+00,-4.59E-05
-1.77E+00,-4.57E-05
-1.76E+00,-4.59E-05
-1.75E+00,-4.49E-05
-1.74E+00,-4.47E-05
-1.73E+00,-4.70E-05
-1.72E+00,-4.39E-05
-1.71E+00,-4.35E-05
-1.70E+00,-4.44E-05
-1.69E+00,-4.34E-05
-1.68E+00,-4.31E-05
-1.67E+00,-4.62E-05
-1.66E+00,-4.30E-05
-1.65E+00,-4.27E-05
-1.64E+00,-4.20E-05
-1.63E+00,-4.19E-05
-1.62E+00,-4.24E-05
-1.61E+00,-4.14E-05
-1.60E+00,-4.12E-05
-1.59E+00,-4.17E-05
-1.58E+00,-4.03E-05
-1.57E+00,-4.01E-05
-1.56E+00,-4.04E-05
-1.55E+00,-3.93E-05
-1.54E+00,-3.91E-05
-1.53E+00,-3.95E-05
-1.52E+00,-3.90E-05
-1.51E+00,-3.84E-05
-1.50E+00,-3.87E-05
-1.49E+00,-3.77E-05
-1.48E+00,-3.70E-05
-1.47E+00,-3.72E-05
-1.46E+00,-3.62E-05
-1.45E+00,-3.65E-05
-1.44E+00,-3.65E-05
-1.43E+00,-3.61E-05
-1.42E+00,-3.62E-05
-1.41E+00,-3.58E-05
-1.40E+00,-3.51E-05
-1.39E+00,-3.49E-05
-1.38E+00,-3.48E-05
-1.37E+00,-3.41E-05
-1.36E+00,-3.44E-05
-1.35E+00,-3.45E-05
-1.34E+00,-3.37E-05
-1.33E+00,-3.38E-05
-1.32E+00,-3.34E-05
-1.31E+00,-3.30E-05
-1.30E+00,-3.27E-05
-1.29E+00,-3.25E-05
-1.28E+00,-3.22E-05
-1.27E+00,-3.23E-05
-1.26E+00,-3.20E-05
-1.25E+00,-3.12E-05
-1.24E+00,-3.11E-05
-1.23E+00,-3.08E-05
-1.22E+00,-2.98E-05
-1.21E+00,-2.97E-05
-1.20E+00,-2.99E-05
-1.19E+00,-2.91E-05
-1.18E+00,-2.90E-05
-1.17E+00,-2.91E-05
-1.16E+00,-2.84E-05
-1.15E+00,-2.81E-05
-1.14E+00,-2.80E-05
-1.13E+00,-2.72E-05
-1.12E+00,-2.71E-05
-1.11E+00,-2.70E-05
-1.10E+00,-2.64E-05
-1.09E+00,-2.63E-05
-1.08E+00,-2.64E-05
-1.07E+00,-2.57E-05
-1.06E+00,-2.49E-05
-1.05E+00,-2.98E-05
-1.04E+00,-2.47E-05
-1.03E+00,-2.40E-05
-1.02E+00,-2.41E-05
-1.01E+00,-2.43E-05
-9.97E-01,-2.34E-05
-9.87E-01,-2.27E-05
-9.77E-01,-2.28E-05
-9.67E-01,-2.20E-05
-9.57E-01,-2.15E-05
-9.47E-01,-2.17E-05
-9.37E-01,-2.13E-05
-9.27E-01,-2.08E-05
-9.17E-01,-2.10E-05
-9.07E-01,-2.04E-05
-8.97E-01,-1.99E-05
-8.87E-01,-2.12E-05
-8.78E-01,-1.99E-05
-8.67E-01,-1.89E-05
-8.57E-01,-1.85E-05
-8.47E-01,-1.82E-05
-8.37E-01,-1.81E-05
-8.28E-01,-1.74E-05
-8.18E-01,-1.71E-05
-8.07E-01,-1.67E-05
-8.50E-01,-3.15E-05
-8.00E-01,-9.94E-06
-7.80E-01,-1.30E-05
-7.70E-01,-2.09E-05
-7.61E-01,-1.53E-05
-7.50E-01,-1.98E-05
-7.41E-01,-1.53E-05
-7.80E-01,-2.21E-05
-7.31E-01,-9.21E-06
-7.12E-01,-1.15E-05
-7.00E-01,-1.95E-05
-6.91E-01,-1.39E-05
-6.80E-01,-2.07E-05
-6.71E-01,-1.40E-05
-6.60E-01,-1.99E-05
-6.51E-01,-1.37E-05
-6.86E-01,-3.81E-06
-6.41E-01,-5.46E-06
-6.64E-01,-2.72E-05
-6.22E-01,-1.47E-05
-6.46E-01,-2.18E-05
-6.03E-01,-1.33E-05
-5.84E-01,-1.12E-05
-6.05E-01,-3.17E-05
-5.69E-01,-1.65E-05
-5.53E-01,-1.16E-05
-5.73E-01,-3.18E-05
-5.38E-01,-1.73E-05
-5.23E-01,-1.11E-05
-5.35E-01,-2.83E-05
-5.06E-01,-1.70E-05
-4.92E-01,-1.09E-05
-5.03E-01,-2.60E-05
-4.76E-01,-1.55E-05
-4.76E-01,-2.65E-05
-4.54E-01,-1.50E-05
-4.56E-01,-2.26E-05
-4.34E-01,-1.37E-05
-4.30E-01,-7.92E-06
-4.21E-01,-2.07E-05
-4.03E-01,-1.13E-05
-3.99E-01,-1.98E-05
-3.82E-01,-1.03E-05
-3.75E-01,-1.49E-05
-3.64E-01,-1.50E-05
-3.53E-01,-1.13E-05
-3.40E-01,-1.09E-05
-3.68E-01,-2.98E-05
-3.27E-01,-2.24E-05
-3.10E-01,-1.06E-05
-3.29E-01,-2.61E-05
-2.98E-01,-1.43E-05
-2.80E-01,-9.82E-06
-2.70E-01,-9.06E-06
