VOLT1        ,CURR1        
-1.43E-02,-1.40E-07
-3.94E-03,4.62E-08
6.40E-03,1.53E-06
1.62E-02,1.14E-06
2.66E-02,1.68E-06
3.69E-02,2.66E-06
4.71E-02,2.41E-06
5.75E-02,2.95E-06
6.79E-02,3.93E-06
7.89E-02,4.11E-06
9.02E-02,5.85E-06
9.96E-02,9.50E-06
1.06E-01,1.14E-05
1.17E-01,1.27E-05
1.27E-01,1.47E-05
1.37E-01,1.72E-05
1.47E-01,2.06E-05
1.57E-01,2.34E-05
1.68E-01,2.75E-05
1.78E-01,3.22E-05
1.88E-01,3.72E-05
1.98E-01,4.32E-05
2.09E-01,5.00E-05
2.19E-01,5.78E-05
2.29E-01,6.68E-05
2.40E-01,7.75E-05
2.50E-01,9.05E-05
2.60E-01,1.04E-04
2.70E-01,1.20E-04
2.80E-01,1.39E-04
2.90E-01,1.60E-04
3.00E-01,1.84E-04
3.10E-01,2.13E-04
3.20E-01,2.45E-04
3.30E-01,2.84E-04
3.40E-01,3.29E-04
3.50E-01,3.82E-04
3.60E-01,4.44E-04
3.70E-01,5.17E-04
3.80E-01,6.05E-04
3.90E-01,7.10E-04
4.00E-01,8.37E-04
4.10E-01,9.90E-04
4.20E-01,1.18E-03
4.30E-01,1.41E-03
4.40E-01,1.69E-03
4.50E-01,2.05E-03
4.60E-01,2.50E-03
4.70E-01,3.07E-03
4.80E-01,3.80E-03
4.90E-01,4.73E-03
5.00E-01,5.94E-03
5.10E-01,7.48E-03
5.20E-01,9.44E-03
5.30E-01,1.20E-02
5.40E-01,1.52E-02
5.50E-01,1.91E-02
5.60E-01,2.38E-02
5.70E-01,2.93E-02
5.80E-01,3.56E-02
5.90E-01,4.28E-02
6.00E-01,5.08E-02
6.10E-01,5.95E-02
6.20E-01,6.88E-02
6.30E-01,7.88E-02
6.40E-01,8.93E-02
6.50E-01,1.00E-01
6.60E-01,1.23E-01
6.70E-01,1.36E-01
6.80E-01,1.50E-01
6.90E-01,1.65E-01
7.00E-01,1.79E-01
7.10E-01,1.94E-01
7.20E-01,2.09E-01
7.30E-01,2.25E-01
7.40E-01,2.40E-01
7.50E-01,2.56E-01
7.60E-01,2.72E-01
7.70E-01,2.89E-01
7.80E-01,3.05E-01
7.90E-01,3.21E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
7.95E-01,3.30E-01
