VOLT1        ,CURR1        
-1.99E+00,-7.02E-05
-1.99E+00,-6.51E-05
-1.98E+00,-6.54E-05
-1.97E+00,-6.47E-05
-1.96E+00,-6.46E-05
-1.95E+00,-6.43E-05
-1.94E+00,-6.33E-05
-1.93E+00,-6.31E-05
-1.92E+00,-6.30E-05
-1.91E+00,-6.26E-05
-1.90E+00,-6.29E-05
-1.89E+00,-6.23E-05
-1.88E+00,-6.17E-05
-1.87E+00,-6.15E-05
-1.86E+00,-6.07E-05
-1.85E+00,-6.01E-05
-1.84E+00,-6.03E-05
-1.83E+00,-5.98E-05
-1.82E+00,-5.97E-05
-1.81E+00,-5.97E-05
-1.80E+00,-5.92E-05
-1.79E+00,-5.89E-05
-1.78E+00,-5.86E-05
-1.77E+00,-5.81E-05
-1.76E+00,-5.73E-05
-1.75E+00,-5.75E-05
-1.74E+00,-5.73E-05
-1.73E+00,-5.74E-05
-1.72E+00,-5.89E-05
-1.71E+00,-5.61E-05
-1.70E+00,-5.68E-05
-1.69E+00,-5.57E-05
-1.68E+00,-5.49E-05
-1.67E+00,-5.51E-05
-1.66E+00,-5.49E-05
-1.65E+00,-5.35E-05
-1.64E+00,-5.42E-05
-1.63E+00,-5.36E-05
-1.62E+00,-5.30E-05
-1.61E+00,-5.27E-05
-1.60E+00,-5.26E-05
-1.59E+00,-5.16E-05
-1.58E+00,-5.19E-05
-1.57E+00,-5.18E-05
-1.56E+00,-5.10E-05
-1.55E+00,-5.10E-05
-1.54E+00,-5.11E-05
-1.53E+00,-5.00E-05
-1.52E+00,-4.98E-05
-1.51E+00,-4.95E-05
-1.50E+00,-4.96E-05
-1.49E+00,-4.90E-05
-1.48E+00,-4.84E-05
-1.47E+00,-4.81E-05
-1.46E+00,-4.78E-05
-1.45E+00,-4.78E-05
-1.44E+00,-4.69E-05
-1.43E+00,-4.66E-05
-1.42E+00,-4.62E-05
-1.41E+00,-4.59E-05
-1.40E+00,-4.58E-05
-1.39E+00,-4.57E-05
-1.38E+00,-4.48E-05
-1.37E+00,-4.45E-05
-1.36E+00,-4.43E-05
-1.35E+00,-4.32E-05
-1.34E+00,-4.27E-05
-1.33E+00,-4.46E-05
-1.32E+00,-4.24E-05
-1.31E+00,-4.20E-05
-1.30E+00,-4.19E-05
-1.29E+00,-4.11E-05
-1.28E+00,-4.13E-05
-1.27E+00,-4.05E-05
-1.26E+00,-3.98E-05
-1.25E+00,-4.02E-05
-1.24E+00,-3.95E-05
-1.23E+00,-3.91E-05
-1.22E+00,-3.95E-05
-1.21E+00,-3.87E-05
-1.20E+00,-3.84E-05
-1.19E+00,-3.83E-05
-1.18E+00,-3.73E-05
-1.17E+00,-3.70E-05
-1.16E+00,-3.72E-05
-1.15E+00,-3.68E-05
-1.14E+00,-3.65E-05
-1.13E+00,-3.66E-05
-1.12E+00,-3.57E-05
-1.11E+00,-3.53E-05
-1.10E+00,-3.54E-05
-1.09E+00,-3.42E-05
-1.08E+00,-3.37E-05
-1.07E+00,-3.41E-05
-1.06E+00,-3.34E-05
-1.05E+00,-3.29E-05
-1.04E+00,-3.30E-05
-1.03E+00,-3.20E-05
-1.02E+00,-3.16E-05
-1.01E+00,-3.16E-05
